Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
8,0,38,0,4370.0,71,5,17,3,1,1,30,197.64,0
0,0,39,0,318.0,5,7,4,2,1,2,25,46.035,0
10,0,37,0,2453.0,60,359,24,3,1,1,30,1536.52,0
10,0,38,0,4198.0,66,1,35,1,1,1,25,240.02,0
3,0,38,0,2393.0,58,2,33,1,1,1,25,145.805,0
11,0,38,1,3775.0,82,32,28,3,1,1,30,282.28,0
4,0,38,0,2360.0,39,285,18,3,1,1,30,1235.96,0
13,0,37,2,9115.0,121,144,43,3,1,1,30,945.44,0
7,0,38,0,13773.0,169,0,44,3,1,1,30,557.68,0
7,0,38,1,4515.0,83,2,25,3,1,1,30,191.92,0
6,0,38,0,5918.0,95,7,12,3,1,1,30,268.52,0
9,0,38,0,2238.0,54,8,17,3,1,2,30,123.68,0
25,0,38,3,15044.24999999999,225,54,32,3,1,1,30,830.6,0
4,0,38,1,3095.0,27,483,8,3,1,1,30,2056.88,0
9,0,37,0,15044.24999999999,182,150,30,2,1,1,25,1380.015,0
3,0,37,1,6500.0,86,186,26,3,1,1,30,1007.44,0
0,0,37,0,875.0,14,0,11,2,1,2,25,40.005,1
2,0,38,0,710.0,14,13,8,3,1,2,30,80.96,0
0,0,37,0,267.50000000000017,0,0,0,2,1,2,25,0.0,1
3,0,37,0,7508.0,127,384,43,2,1,1,25,2071.575,0
7,0,37,1,11465.0,154,11,47,4,1,1,45,317.975,0
8,0,37,1,6718.0,75,108,37,2,1,1,25,791.685,0
23,1,33,0,955.0,47,16,17,2,1,2,25,117.09,1
21,1,36,4,10435.0,93,1,42,5,2,1,55,159.42,0
13,1,36,1,5818.0,98,26,24,2,1,1,25,383.22,1
1,0,34,0,2840.0,22,0,14,3,1,1,30,114.48,0
9,0,35,0,2990.0,41,9,16,3,1,2,30,157.24,1
9,1,36,0,2268.0,44,34,31,3,1,2,30,228.48,1
0,0,36,0,267.50000000000017,2,0,2,3,1,2,30,5.4,1
1,0,36,0,1668.0,25,0,6,3,1,1,30,67.72,0
3,0,33,1,6785.0,97,14,22,5,1,1,55,124.23,0
0,1,36,0,628.0,7,9,4,4,1,2,45,38.375,1
0,0,36,1,338.0,4,4,2,5,1,1,55,11.13,0
25,0,31,3,15044.24999999999,238,0,80,2,2,1,25,734.085,0
6,0,34,3,6965.0,116,271,33,2,2,1,25,1538.145,0
2,0,36,0,3718.0,82,2,28,2,1,1,25,180.0,0
3,0,35,0,1665.0,44,38,20,3,1,2,30,220.36,0
6,0,36,0,2780.0,53,175,23,2,1,1,25,914.985,0
4,0,27,1,1315.0,36,193,11,2,2,1,25,929.295,0
4,0,26,0,1568.0,39,30,68,4,1,1,45,115.175,0
11,0,27,0,700.0,25,10,7,2,1,2,25,77.625,0
0,0,26,0,825.0,10,21,3,4,1,2,45,73.375,1
10,0,25,0,1225.0,32,19,13,2,1,1,25,142.065,0
2,0,25,0,3225.0,61,8,23,3,1,1,30,163.44,0
2,0,18,0,1695.0,26,28,14,2,1,1,25,203.445,0
16,0,17,1,6393.0,141,85,42,2,2,1,25,676.53,0
12,0,15,0,8933.0,171,73,40,4,1,1,45,410.1,0
8,0,16,3,2853.0,45,31,19,3,2,1,30,239.92,0
2,0,13,1,4390.0,40,215,10,3,1,1,30,1037.2,0
3,0,13,1,1488.0,19,0,7,3,1,1,30,60.28,1
11,0,40,1,4430.0,74,10,19,3,1,1,30,220.16,0
3,0,41,1,378.0,8,12,6,3,1,1,30,63.44,0
13,0,39,1,2513.0,63,364,26,3,1,1,30,1559.04,0
13,0,40,1,4258.0,69,6,37,1,1,1,25,270.985,0
6,0,40,1,2453.0,61,7,35,2,1,1,25,144.63,0
14,0,40,2,3835.0,85,37,30,3,2,1,30,304.8,0
7,0,40,1,2420.0,42,290,20,3,1,1,30,1258.48,0
16,0,39,3,9175.0,124,149,45,3,1,1,30,967.96,0
10,0,40,1,13833.0,172,5,46,3,1,1,30,580.2,0
10,0,40,2,4575.0,86,7,27,3,1,1,30,214.44,0
9,0,40,1,5978.0,98,12,14,3,1,1,30,291.04,0
12,0,40,1,2298.0,57,13,19,3,1,1,30,146.2,0
28,0,40,4,15044.24999999999,228,59,34,3,1,1,30,853.12,0
7,0,40,2,3155.0,30,488,10,3,1,1,30,2079.4,0
12,0,39,1,15044.24999999999,185,155,32,2,1,1,25,1405.35,0
6,0,39,2,6560.0,89,191,28,3,1,1,30,1029.96,0
3,0,39,1,935.0,17,5,13,2,1,1,25,65.34,0
5,0,40,1,770.0,17,18,10,3,1,1,30,103.48,0
3,1,39,1,267.50000000000017,3,5,2,2,1,1,25,25.335,1
6,0,39,1,7568.0,130,389,45,3,1,1,30,1863.92,0
10,0,39,2,11525.0,157,16,49,4,2,1,45,332.05,0
11,0,39,2,6778.0,78,113,39,2,1,1,25,817.02,0
26,1,35,1,1015.0,50,21,19,3,1,1,30,126.6,1
24,1,38,4,10495.0,96,6,44,5,2,1,55,167.865,0
16,0,38,2,5878.0,101,31,26,2,1,1,25,408.555,0
4,0,36,1,2900.0,25,5,16,3,1,1,30,137.0,0
12,0,37,1,3050.0,44,14,18,3,1,1,30,179.76,1
12,1,38,1,2328.0,47,39,33,3,1,1,30,251.0,1
3,0,38,1,267.50000000000017,5,5,4,3,1,1,30,27.92,1
4,0,38,1,1728.0,28,5,8,4,1,1,45,56.4,0
6,0,35,2,6845.0,100,19,24,5,1,1,55,132.675,0
3,0,38,1,688.0,10,14,6,4,1,1,45,52.45,1
3,0,38,2,398.0,7,9,4,5,1,1,55,19.575,0
28,0,33,4,15044.24999999999,241,5,82,2,1,1,25,759.42,0
9,1,36,4,7025.0,119,276,35,3,2,1,30,1389.76,0
5,0,38,1,3778.0,85,7,30,3,1,1,30,182.52,0
6,0,37,1,1725.0,47,43,22,3,1,1,30,242.88,0
9,0,38,1,2840.0,56,180,25,2,1,1,25,940.32,0
7,0,29,2,1375.0,39,198,13,3,2,1,30,848.56,0
7,0,28,1,1628.0,42,35,70,4,1,1,45,129.25,0
14,0,29,1,760.0,28,15,9,3,1,1,30,91.52,0
3,0,28,1,885.0,13,26,5,4,1,1,45,87.45,0
13,0,27,1,1285.0,35,24,15,2,1,1,25,167.4,0
5,0,27,1,3285.0,64,13,25,3,1,1,30,185.96,0
5,0,20,1,1755.0,29,33,16,2,1,1,25,228.78,0
19,0,19,2,6453.0,144,90,44,2,2,1,25,701.865,0
15,0,17,1,8993.0,174,78,42,5,1,1,55,254.505,0
11,0,18,4,2913.0,48,36,21,3,1,1,30,262.44,0
5,0,13,2,4450.0,43,220,12,3,1,1,30,1059.72,0
6,1,13,2,1548.0,22,5,9,3,1,1,30,82.8,1
5,0,36,0,4310.0,68,0,15,2,1,1,25,197.01,0
0,0,37,0,267.50000000000017,2,2,2,2,1,2,25,20.7,0
7,0,35,0,2393.0,57,354,22,2,1,1,25,1703.25,0
7,0,36,0,4138.0,63,0,33,1,1,1,25,231.055,0
0,0,36,0,2333.0,55,0,31,1,1,1,25,131.34,0
8,0,36,0,3715.0,79,27,26,3,1,1,30,259.76,0
1,0,36,0,2300.0,36,280,16,3,1,1,30,1213.44,0
10,0,35,1,9055.0,118,139,41,3,1,1,30,922.92,0
4,0,36,0,13713.0,166,0,42,3,1,1,30,555.16,0
4,0,36,0,4455.0,80,0,23,3,1,1,30,181.4,0
3,0,36,0,5858.0,92,2,10,2,1,1,25,276.75,0
6,1,36,0,2178.0,51,3,15,3,1,2,30,101.16,0
22,0,36,2,15044.24999999999,222,49,30,3,1,1,30,808.08,0
1,0,36,0,3035.0,24,478,6,3,1,1,30,2034.36,0
6,0,35,0,15044.24999999999,179,145,28,2,1,1,25,1354.68,0
0,0,35,0,6440.0,83,181,24,3,1,1,30,984.92,0
0,0,35,0,815.0,11,0,9,2,1,2,25,37.17,0
0,0,36,0,650.0,11,8,6,2,1,2,25,65.745,0
0,0,35,0,267.50000000000017,0,0,0,2,1,2,25,0.0,1
0,0,35,0,7448.0,124,379,41,2,1,1,25,2046.24,0
4,0,35,0,11405.0,151,6,45,3,1,1,30,486.24,0
5,0,35,0,6658.0,72,103,35,2,1,1,25,766.35,0
20,0,31,0,895.0,44,11,15,2,1,2,25,91.755,1
18,0,34,4,10375.0,90,0,40,4,1,1,45,261.625,0
10,0,34,0,5758.0,95,21,22,2,1,1,25,357.885,1
0,0,32,0,2780.0,19,0,12,3,1,1,30,111.96,0
6,0,33,0,2930.0,38,4,14,2,1,2,25,151.56,1
6,1,34,0,2208.0,41,29,29,3,1,2,30,205.96,1
0,1,34,0,267.50000000000017,0,0,0,3,1,2,30,0.0,1
0,0,34,0,1608.0,22,0,4,3,1,1,30,65.2,0
0,0,31,0,6725.0,94,9,20,4,1,1,45,192.975,0
0,0,34,0,568.0,4,4,2,4,1,2,45,24.3,1
0,0,34,0,267.50000000000017,0,0,0,5,1,1,55,0.0,0
22,0,29,2,15044.24999999999,235,0,78,2,1,1,25,731.25,0
3,0,32,2,6905.0,113,266,31,2,2,1,25,1512.81,0
0,0,34,0,3658.0,79,0,26,2,1,1,25,168.165,0
0,0,33,0,1605.0,41,33,18,3,1,2,30,197.84,0
3,0,34,0,2720.0,50,170,21,2,1,1,25,889.65,0
1,0,25,0,1255.0,33,188,9,2,2,1,25,903.96,0
1,0,24,0,1508.0,36,25,66,4,1,1,45,101.1,0
8,0,25,0,640.0,22,5,5,2,1,2,25,52.29,0
0,1,24,0,765.0,7,16,1,4,1,2,45,59.3,1
7,0,23,0,1165.0,29,14,11,2,1,1,25,116.73,0
0,0,23,0,3165.0,58,3,21,3,1,1,30,140.92,0
0,0,16,0,1635.0,23,23,12,2,1,1,25,178.11,0
13,0,15,0,6333.0,138,80,40,1,2,1,25,795.905,0
9,0,13,0,8873.0,168,68,38,4,1,1,45,396.025,0
5,0,14,2,2793.0,42,26,17,3,1,1,30,217.4,0
0,0,13,0,4330.0,37,210,8,3,1,1,30,1014.68,0
0,0,13,0,1428.0,16,0,5,3,1,1,30,57.76,1
9,0,42,1,4450.0,73,15,21,3,1,1,30,240.92,0
1,1,42,0,398.0,7,17,8,3,1,2,30,84.2,1
11,0,41,1,2533.0,62,369,28,3,1,1,30,1579.8,0
11,0,42,1,4278.0,68,11,39,1,1,1,25,299.53,0
4,0,42,1,2473.0,60,12,37,2,1,1,25,167.985,0
12,0,42,2,3855.0,84,42,32,3,1,1,30,325.56,0
5,0,42,1,2440.0,41,295,22,3,1,1,30,1279.24,0
14,0,41,3,9195.0,123,154,47,3,1,1,30,988.72,0
8,0,42,1,13853.0,171,10,48,3,1,1,30,600.96,0
8,0,42,2,4595.0,85,12,29,3,1,1,30,235.2,0
7,0,42,1,5998.0,97,17,16,3,1,1,30,311.8,0
10,0,42,0,2318.0,56,18,21,3,1,2,30,166.96,0
26,0,42,4,15044.24999999999,227,64,36,3,2,1,30,873.88,0
5,0,42,2,3175.0,29,493,12,3,1,1,30,2100.16,0
10,0,41,1,15044.24999999999,184,160,34,2,1,1,25,1428.705,0
4,0,41,2,6580.0,88,196,30,3,1,1,30,1050.72,0
1,0,41,0,955.0,16,10,15,2,1,2,25,88.695,0
3,0,42,0,790.0,16,23,12,3,1,2,30,124.24,0
1,0,41,0,267.50000000000017,2,10,4,2,1,2,25,48.69,1
4,0,41,1,7588.0,129,394,47,3,1,1,30,1884.68,0
8,0,41,2,11545.0,156,21,51,4,1,1,45,345.025,0
9,0,41,2,6798.0,77,118,41,2,1,1,25,840.375,0
24,1,37,0,1035.0,49,26,21,3,1,2,30,147.36,1
22,1,40,4,10515.0,95,11,46,5,1,1,55,175.65,0
14,0,40,2,5898.0,100,36,28,2,1,1,25,431.91,1
2,0,38,1,2920.0,24,10,18,3,1,1,30,157.76,0
10,0,39,0,3070.0,43,19,20,3,1,2,30,200.52,1
10,1,40,0,2348.0,46,44,35,3,1,2,30,271.76,1
1,0,40,0,267.50000000000017,4,10,6,3,1,2,30,48.68,1
2,0,40,1,1748.0,27,10,10,4,1,1,45,69.375,0
4,0,37,2,6865.0,99,24,26,5,1,1,55,140.46,0
1,1,40,0,708.0,9,19,8,4,1,2,45,65.425,1
1,0,40,2,418.0,6,14,6,5,1,1,55,27.36,0
